pulocationid,dolocationid,tmode,duration,price,w10000,w15000,w25000,w35000,w50000,w75000,w100000,w125000,w150000,w200000
143,85,8,48.3907262,11.68545032,46,23,0,23,23,69,92,23,23,0
143,87,8,28.03661112,23.81754053,0,0,0,0,0,46,161,184,46,69
143,87,2,37.0,2.75,0,0,23,69,23,506,1725,1288,1794,1173
143,87,3,26.76425898,23.01757019,0,0,23,23,0,0,92,23,69,23
143,88,2,40.0,2.75,805,0,184,0,713,1035,989,1127,69,1380
143,88,8,29.43771756,23.83420166,46,0,0,0,161,161,69,115,0,138
143,88,3,27.52764798,23.05959813,23,0,0,0,0,69,69,69,0,23
143,89,2,54.0,5.5,115,1610,1610,1817,1104,2415,3864,1932,805,621
143,90,2,22.0,2.75,115,69,23,0,0,161,276,253,230,621
143,91,8,52.43063187,13.868288,0,23,92,92,92,345,368,253,253,276
143,91,3,46.07857143,46.18428571,0,0,0,0,0,0,92,23,69,69
143,91,2,73.0,8.25,46,414,851,598,460,2231,3197,2300,1265,1978
143,92,8,36.32298148,13.90167273,0,0,0,0,0,0,23,0,23,46
143,92,3,35.3662963,41.11444444,0,0,0,0,0,0,23,0,0,0
143,92,2,65.0,5.5,0,0,0,0,46,23,46,23,184,368
143,94,8,28.59626068,10.59122087,0,46,0,23,0,0,23,0,23,0
143,94,2,45.0,5.5,276,414,46,276,138,69,230,69,69,184
143,94,3,23.64444444,28.5,0,0,0,46,23,0,0,0,0,0
143,95,8,41.3105776,11.84363546,0,23,0,46,23,0,69,23,23,69
143,95,3,42.78179012,39.73111111,0,23,0,0,0,0,0,0,0,0
143,97,3,29.40818182,27.34927273,0,0,0,0,0,0,0,0,0,0
143,97,2,48.0,5.5,23,0,46,0,0,115,115,115,69,115
143,97,8,32.77581523,9.998870769,23,0,0,0,0,0,0,0,46,23
143,100,2,19.0,2.75,2668,828,713,0,391,1426,2737,874,621,2323
143,100,3,16.11269697,11.15795358,345,138,115,0,23,115,322,46,46,506
143,100,8,15.93835547,21.24567193,230,23,23,0,46,161,322,46,115,299
143,102,8,37.53419399,11.929984,0,23,0,46,23,0,69,0,69,23
143,102,2,69.0,8.25,0,23,92,23,69,207,368,207,230,138
143,102,3,35.67166667,34.95,0,0,0,0,0,23,46,0,0,0
143,106,8,38.10800802,10.66106839,23,0,0,0,0,0,0,23,0,0
143,107,2,36.0,5.5,0,0,0,0,0,23,0,23,0,0
143,107,8,27.45621595,22.29559772,0,0,0,0,0,0,0,0,0,23
143,109,8,61.99166667,19.64266667,0,0,46,0,0,0,0,46,0,23
143,113,8,26.12822736,22.41871222,0,0,23,92,23,69,92,92,92,92
143,114,2,37.0,2.75,115,69,46,0,23,115,621,506,414,759
143,114,3,25.86851852,18.79741863,0,0,0,0,0,23,23,46,23,69
143,114,8,25.93836575,22.69325901,46,0,23,0,0,0,69,69,23,69
143,115,8,42.825,15.825439999999999,0,23,46,69,0,23,46,69,46,69
143,115,2,91.0,8.25,0,161,184,460,184,621,736,851,391,575
143,116,3,27.11224726,16.7812825,138,46,161,184,23,92,138,115,69,92
143,122,2,83.0,11.0,0,0,0,23,0,92,138,69,23,115
143,125,3,26.25034197,18.27213823,0,0,23,0,0,0,0,0,0,23
143,125,8,25.11984194,22.61788139,0,23,0,0,0,0,0,0,0,23
143,125,2,32.0,2.75,0,69,46,46,0,23,46,115,69,138
143,127,2,38.0,2.75,115,92,368,138,138,460,529,115,115,92
143,127,8,15.22654028,9.84370087,23,23,23,0,0,46,69,23,0,46
143,128,2,56.0,5.5,0,0,23,0,0,0,0,0,0,23
143,129,3,30.78274854,28.74561404,0,92,46,253,92,184,368,345,161,207
143,129,2,59.0,8.25,230,1012,2507,2829,1725,4462,7682,5681,2392,3910
143,130,3,46.36851852,49.88888889,0,0,0,0,0,0,0,0,0,0
143,130,8,47.81095679,14.39774545,0,0,23,0,0,23,46,0,23,46
143,130,2,61.0,5.5,23,92,161,184,69,552,414,230,253,253
143,135,8,41.39443448,12.37159467,0,0,0,0,0,0,69,23,0,23
143,135,2,60.0,8.25,92,23,69,0,23,138,161,276,299,575
143,137,3,26.66646496,17.65075751,69,0,0,0,23,0,92,69,92,161
143,137,5,82.31666667,0.0,0,0,0,0,0,0,0,0,0,0
143,137,8,25.70977196,22.24101794,23,0,0,23,23,23,69,92,115,138
143,140,8,20.110386600000002,16.44973164,0,0,0,0,0,0,0,23,0,23
143,140,3,21.777498899999998,13.23608153,0,0,0,0,0,0,0,0,0,23
143,140,2,28.0,2.75,0,23,0,0,0,69,115,0,92,138
143,141,3,17.9605823,11.81762584,46,23,0,0,92,69,161,345,253,299
143,141,5,47.58333333,0.0,0,69,0,0,69,69,322,322,161,345
