w_zip,h_zip,total,initialFeat,true_label
11218,11434,75,3.0,3
11218,11435,71,3.0,3
11218,11436,21,3.0,3
11218,11691,136,3.0,3
11218,11692,40,3.0,3
11218,11693,23,3.0,3
11218,11694,47,3.0,3
11218,11697,11,3.0,3
11226,10001,4,3.0,3
11226,10002,41,3.0,3
11226,10003,23,3.0,3
11226,10004,6,3.0,3
11226,10005,2,3.0,3
11226,10007,5,3.0,3
11226,10009,22,3.0,3
11226,10010,6,3.0,3
11226,10011,11,3.0,3
11226,10012,14,3.0,3
11226,10013,21,3.0,3
11226,10014,17,3.0,3
11226,10016,11,3.0,3
11226,10017,3,3.0,3
11226,10019,6,3.0,3
11226,10021,7,3.0,3
11226,10022,5,3.0,3
11226,10023,3,3.0,3
11226,10024,13,3.0,3
11226,10025,20,3.0,3
11226,10026,20,3.0,3
11226,10027,34,3.0,3
11226,10028,9,3.0,3
11226,10029,33,3.0,3
11226,10030,10,3.0,3
11226,10031,18,3.0,3
11226,10032,22,3.0,3
11226,10033,8,3.0,3
11226,10034,15,3.0,3
11226,10035,14,3.0,3
11226,10036,1,3.0,3
11226,10037,5,3.0,3
11226,10038,7,3.0,3
11226,10039,6,3.0,3
11226,10040,12,3.0,3
11226,10044,4,3.0,3
11226,10075,4,3.0,3
11226,10128,15,3.0,3
11226,10280,3,3.0,3
11226,10282,4,3.0,3
11226,10301,28,3.0,3
11226,10302,15,3.0,3
11226,10303,22,3.0,3
11226,10304,33,3.0,3
11226,10305,32,3.0,3
11226,10306,47,3.0,3
11226,10307,8,3.0,3
11226,10308,13,3.0,3
11226,10309,25,3.0,3
11226,10310,18,3.0,3
11226,10312,41,3.0,3
11226,10314,75,3.0,3
11226,10451,12,3.0,3
11226,10452,40,3.0,3
11226,10453,33,3.0,3
11226,10454,15,3.0,3
11226,10455,15,3.0,3
11226,10456,37,3.0,3
11226,10457,23,3.0,3
11226,10458,43,3.0,3
11226,10459,20,3.0,3
11226,10460,20,3.0,3
11226,10461,15,3.0,3
11226,10462,35,3.0,3
11226,10463,27,3.0,3
11226,10464,1,3.0,3
11226,10465,18,3.0,3
11226,10466,29,3.0,3
11226,10467,33,3.0,3
11226,10468,18,3.0,3
11226,10469,17,3.0,3
11226,10470,5,3.0,3
11226,10471,5,3.0,3
11226,10472,17,3.0,3
11226,10473,20,3.0,3
11226,10474,4,3.0,3
11226,10475,14,3.0,3
11226,11001,3,3.0,3
11226,11004,11,3.0,3
11226,11005,1,3.0,3
11226,11040,2,3.0,3
11226,11101,10,3.0,3
11226,11102,7,3.0,3
11226,11103,18,3.0,3
